,title,price,type,material,location,link
0,lazy boy recliner/rocker,1000,,,unknown,https://charlottesville.craigslist.org/fuo/d/rockville-lazy-boy-recliner-rocker/7823571212.html
1,shelf,50,shelf,,Zioncross Roads,https://charlottesville.craigslist.org/fuo/d/montpelier-station-shelf/7824172808.html
2,complete kitchen cabinet set with sink and microwave,300,cabinet,,"Gordonsville, Va.",https://charlottesville.craigslist.org/fuo/d/somerset-complete-kitchen-cabinet-set/7819378902.html
3,entertainment cabinet,125,cabinet,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-entertainment-cabinet/7824147021.html
4,unique bookends wine rack,20,rack,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-unique-bookends-wine/7823569218.html
5,antique bronze vintage wine rack,40,rack,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-antique-bronze-vintage/7823569324.html
6,beautiful artificial indoor tree,50,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-beautiful-artificial/7823569360.html
7,outside chair,20,chair,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-outside-chair/7824139080.html
8,large pine mirror,20,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-large-pine-mirror/7824138953.html
9,beautiful vintage etched mirror,100,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-beautiful-vintage-etched-mirror/7824138941.html
10,three outside glass tables,20,,glass,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-three-outside-glass-tables/7824138898.html
11,beautiful mirror,40,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-beautiful-mirror/7818736483.html
12,bistro table,50,table,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-bistro-table/7819687313.html
13,oversized chair and ottoman,75,chair,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-oversized-chair-and-ottoman/7820044039.html
14,wood dining table,300,table,wood,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-wood-dining-table/7817888753.html
15,no closet solutions.,75,closet,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-no-closet-solutions/7819011813.html
16,vintage wood side folding coffee table,75,table,wood,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-vintage-wood-side-folding/7818621472.html
17,ceramic elephant table,30,table,ceramic,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-ceramic-elephant-table/7819293868.html
18,four piece bedroom set,500,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-four-piece-bedroom-set/7822236664.html
19,blanket rack,10,rack,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-blanket-rack/7822805390.html
20,2 single foundation mattresses and queen size frame,50,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-single-foundation-mattresses/7822804725.html
21,dinning table set - pennsylvania house - solid cherry,2600,table,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-dinning-table-set/7824127105.html
22,ekorns  stressless. 500/obo no cracks in the leather,500,,leather,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-ekorns-stressless-500/7823440545.html
23,ekornes mcm white leather sofa,1500,sofa,leather,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-ekornes-mcm-white/7824094152.html
24,"pewter, brass, and bronze wall switchplates",50,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-pewter-brass-and-bronze/7821960401.html
25,vintage edison style large led with black ceramic lamp,20,,ceramic,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-edison-style/7817875223.html
26,professionally framed artwork group,150,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-professionally-framed/7816583098.html
27,scenic tree collage art print,75,art,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-scenic-tree-collage-art/7816579271.html
28,two art prints- palm tree grouping,75,art,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-two-art-prints-palm/7816578577.html
29,abstract matted and framed art prints,100,art,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-abstract-matted-and/7816577958.html
30,rock and roll music art print,150,art,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-rock-and-roll-music-art/7818440674.html
31,original h. gailey seascape oil on canvas,175,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-original-gailey/7818440752.html
32,solid wood cd cabinet,30,cabinet,wood,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-wood-cd-cabinet/7818440839.html
33,la-z-boy office swivel chair,150,chair,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-la-boy-office-swivel/7823499484.html
34,brown italian leather sofa,500,sofa,leather,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-brown-italian-leather/7824082519.html
35,bedroom set - excellent condition!,525,,,Charlottesville - Pantops,https://charlottesville.craigslist.org/fuo/d/charlottesville-bedroom-set-excellent/7824068630.html
36,wood side table,40,table,wood,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-wood-side-table/7823331188.html
37,washer and dryer set - estate sale 2304 banbury street,0,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-washer-and-dryer-set/7824060577.html
38,puritan china estate japan 46 pieces,65,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-puritan-china-estate-japan-46/7820649195.html
39,pitcher and bowl sets by ironstone u.s.a,35,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-pitcher-and-bowl-sets-by/7818327242.html
40,solian ware by soho pottery ltd.,85,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-solian-ware-by-soho-pottery-ltd/7818326924.html
41,vintage style leaded glass look chandelier,69,,glass,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-vintage-style-leaded-glass-look/7816038579.html
42,brown leather sofa and armchair set,1250,sofa,leather,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-brown-leather-sofa-and/7824025736.html
43,estate sale. friday 2/7 10:00 - 2:00,0,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-estate-sale-friday/7824014978.html
44,wood top end table with hairpin legs,40,table,wood,unknown,https://charlottesville.craigslist.org/fuo/d/charlottesville-wood-top-end-table-with/7824012131.html
45,faux fireplace,50,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-faux-fireplace/7823971537.html
